Month	Johore	Kedah	Kelantan	Malacca	N. Sembilan	Pahang	Penang	Perak	Selangor	Terengganu	P. Malaysia	Sabah	Sarawak	Sabah/Sarawak	MALAYSIA
2018-05	0.27	0.24	0.15	0.34	0.29	0.26	0.29	0.19	0.31	0.18	0.29	0.26	0.27	0.26	0.34
2018-06	0.25	0.22	0.12	0.27	0.24	0.22	0.27	0.17	0.28	0.15	0.25	0.24	0.24	0.23	0.33
2018-07	0.28	0.25	0.13	0.26	0.24	0.23	0.18	0.34	0.33	0.17	0.26	0.26	0.26	0.26	0.26
2018-08	0.32	0.27	0.15	0.25	0.24	0.26	0.17	0.34	0.36	0.19	0.27	0.31	0.29	0.28	0.28
2018-09	0.38	0.32	0.2	0.29	0.29	0.3	0.18	0.36	0.38	0.25	0.32	0.34	0.33	0.32	0.32
2018-10	0.4	0.35	0.23	0.34	0.32	0.32	0.17	0.37	0.4	0.27	0.37	0.32	0.35	0.34	0.34
2018-11	0.38	0.35	0.23	0.36	0.31	0.32	0.17	0.33	0.33	0.25	0.37	0.28	0.33	0.33	0.33
2018-12	0.39	0.38	0.22	0.35	0.32	0.33	0.18	0.32	0.31	0.23	0.37	0.25	0.31	0.32	0.32
2019-01	0.37	0.36	0.2	0.37	0.31	0.31	0.34	0.2	0.32	0.24	0.35	0.23	0.29	0.3	0.26
2019-02	0.33	0.3	0.18	0.36	0.29	0.28	0.31	0.15	0.32	0.2	0.32	0.2	0.26	0.27	0.28
2019-03	0.32	0.32	0.21	0.41	0.33	0.31	0.34	0.21	0.34	0.22	0.33	0.22	0.27	0.29	0.32
2019-04	0.32	0.33	0.23	0.44	0.35	0.32	0.32	0.2	0.34	0.21	0.3	0.23	0.27	0.28	0.34
2019-05	0.31	0.3	0.23	0.45	0.36	0.31	0.31	0.2	0.31	0.2	0.3	0.23	0.27	0.28	0.33
2019-06	0.3	0.25	0.21	0.36	0.31	0.31	0.28	0.17	0.28	0.22	0.27	0.24	0.25	0.27	0.32
2019-07	0.34	0.28	0.23	0.38	0.36	0.33	0.34	0.21	0.34	0.25	0.32	0.28	0.29	0.28	0.3
2019-08	0.35	0.26	0.22	0.35	0.35	0.33	0.36	0.17	0.36	0.25	0.33	0.29	0.33	0.31	0.32
2019-09	0.36	0.24	0.22	0.29	0.33	0.32	0.34	0.13	0.33	0.26	0.32	0.33	0.34	0.34	0.33
2019-10	0.36	0.23	0.2	0.27	0.31	0.32	0.29	0.11	0.3	0.27	0.31	0.35	0.31	0.33	0.32
2019-11	0.31	0.19	0.17	0.22	0.24	0.26	0.27	0.09	0.27	0.24	0.26	0.32	0.26	0.29	0.27
2019-12	0.26	0.17	0.14	0.17	0.17	0.2	0.26	0.09	0.24	0.2	0.22	0.28	0.24	0.26	0.24
2020-01	0.24	0.21	0.1	0.18	0.15	0.16	0.26	0.13	0.22	0.16	0.19	0.24	0.21	0.23	0.21
2020-02	0.27	0.29	0.11	0.27	0.21	0.18	0.31	0.18	0.29	0.16	0.22	0.24	0.19	0.21	0.22
2020-03	0.29	0.31	0.15	0.29	0.24	0.23	0.32	0.21	0.32	0.19	0.26	0.24	0.21	0.22	0.24
2020-04	0.34	0.33	0.23	0.34	0.29	0.3	0.33	0.24	0.35	0.23	0.31	0.29	0.23	0.26	0.28
2020-05	0.33	0.3	0.2	0.36	0.29	0.28	0.29	0.22	0.32	0.22	0.29	0.33	0.24	0.29	0.29
2020-06	0.4	0.33	0.24	0.41	0.34	0.36	0.36	0.28	0.36	0.31	0.36	0.33	0.26	0.3	0.32
2020-07	0.38	0.29	0.22	0.37	0.33	0.35	0.37	0.24	0.34	0.3	0.34	0.29	0.29	0.29	0.31
2020-08	0.39	0.24	0.24	0.35	0.36	0.36	0.37	0.18	0.33	0.32	0.35	0.3	0.31	0.31	0.33
2020-09	0.39	0.23	0.26	0.38	0.38	0.37	0.34	0.15	0.33	0.33	0.35	0.34	0.29	0.31	0.33
2020-10	0.36	0.18	0.24	0.36	0.31	0.32	0.29	0.11	0.3	0.31	0.32	0.34	0.26	0.3	0.31
2020-11	0.32	0.14	0.21	0.3	0.26	0.28	0.26	0.1	0.26	0.26	0.27	0.29	0.23	0.26	0.27
2020-12	0.28	0.14	0.17	0.25	0.21	0.24	0.26	0.1	0.25	0.2	0.24	0.25	0.22	0.23	0.23
2021-01	0.21	0.19	0.11	0.28	0.19	0.17	0.26	0.16	0.23	0.14	0.19	0.2	0.2	0.2	0.2
2021-02	0.21	0.27	0.11	0.31	0.21	0.19	0.28	0.21	0.27	0.14	0.21	0.17	0.18	0.18	0.19
2021-03	0.27	0.36	0.14	0.36	0.27	0.24	0.34	0.3	0.34	0.15	0.26	0.22	0.22	0.22	0.24
2021-04	0.29	0.36	0.16	0.35	0.28	0.25	0.34	0.29	0.36	0.16	0.27	0.26	0.23	0.24	0.25
2021-05	0.3	0.32	0.17	0.32	0.29	0.27	0.32	0.23	0.33	0.18	0.28	0.28	0.23	0.26	0.27
2021-06	0.31	0.31	0.16	0.31	0.29	0.27	0.34	0.25	0.34	0.19	0.28	0.3	0.24	0.26	0.27
2021-07	0.31	0.28	0.16	0.31	0.29	0.26	0.35	0.23	0.34	0.2	0.28	0.27	0.22	0.24	0.26
2021-08	0.33	0.28	0.22	0.28	0.3	0.29	0.38	0.2	0.33	0.28	0.31	0.3	0.25	0.28	0.29
2021-09	0.32	0.26	0.23	0.29	0.29	0.28	0.34	0.19	0.34	0.31	0.3	0.32	0.26	0.29	0.29
2021-10	0.34	0.27	0.25	0.31	0.29	0.3	0.32	0.18	0.31	0.32	0.31	0.33	0.26	0.29	0.3
2021-11	0.32	0.22	0.23	0.28	0.27	0.3	0.28	0.16	0.28	0.29	0.29	0.31	0.25	0.28	0.29
2021-12	0.3	0.19	0.18	0.25	0.22	0.24	0.24	0.15	0.22	0.23	0.25	0.28	0.24	0.26	0.25
2022-01	0.24	0.19	0.14	0.24	0.2	0.21	0.24	0.16	0.22	0.18	0.21	0.25	0.19	0.22	0.22
2022-02	0.22	0.2	0.13	0.27	0.22	0.2	0.25	0.17	0.23	0.15	0.21	0.21	0.16	0.18	0.19
2022-03	0.27	0.24	0.18	0.32	0.28	0.26	0.3	0.21	0.28	0.17	0.26	0.23	0.19	0.21	0.23
2022-04	0.27	0.23	0.17	0.31	0.28	0.25	0.29	0.2	0.28	0.16	0.25	0.23	0.2	0.22	0.23
2022-05	0.28	0.22	0.18	0.31	0.29	0.26	0.3	0.2	0.25	0.19	0.26	0.22	0.22	0.22	0.24
2022-06	0.29	0.24	0.18	0.32	0.3	0.27	0.31	0.22	0.27	0.18	0.27	0.23	0.23	0.23	0.25
2022-07	0.3	0.25	0.19	0.33	0.3	0.28	0.33	0.25	0.29	0.19	0.28	0.23	0.23	0.23	0.25
2022-08	0.32	0.28	0.21	0.28	0.31	0.29	0.35	0.2	0.29	0.22	0.3	0.28	0.27	0.27	0.29
2022-09															
2022-10															
2022-11															
2022-12															
